MetricSet	SymbolName	ShortName	Group	LongName
RenderPipeProfile2	Gs1Bottleneck	GS1 Bottleneck	3D Pipe/Geometry Shader	The percentage of time in which geometry shader pipeline stage was slowing down the 3D pipeline.
RenderPipeProfile2	Sf1Bottleneck	SF1 Bottleneck	3D Pipe/Rasterizer/Strip-Fans	The percentage of time in which strip-fans pipeline stage was slowing down the 3D pipeline.
RenderPipeProfile2	So1Bottleneck	SO1 Bottleneck	3D Pipe/Stream Output	The percentage of time in which stream output pipeline stage was slowing down the 3D pipeline.
RenderPipeProfile2	Cl1Stall	CL1 Stall	3D Pipe/Clipper	The percentage of time in which clipper pipeline stage was stalled.
RenderPipeProfile2	Hs1Stall	HS1 Stall	3D Pipe/Hull Shader	The percentage of time in which hull stall pipeline stage was stalled.
RenderPipeProfile2	Ds1Stall	DS1 Stall	3D Pipe/Domain Shader	The percentage of time in which domain shader pipeline stage was stalled.
RenderPipeProfile2	Sf1Stall	SF1 Stall	3D Pipe/Rasterizer/Strip-Fans	The percentage of time in which strip-fans pipeline stage was stalled.
RenderPipeProfile2	So1Stall	SO1 Stall	3D Pipe/Stream Output	The percentage of time in which stream-output pipeline stage was stalled.
RenderPipeProfile2	HiDepth10Bottleneck	Hi-Depth10 Bottleneck	3D Pipe/Rasterizer/Hi-Depth Test	The percentage of time in which early hierarchical depth test pipeline stage was slowing down the 3D pipeline.
RenderPipeProfile2	HiDepth11Bottleneck	Hi-Depth11 Bottleneck	3D Pipe/Rasterizer/Hi-Depth Test	The percentage of time in which early hierarchical depth test pipeline stage was slowing down the 3D pipeline.
RenderPipeProfile2	Bc10Bottleneck	BC10 Bottleneck	3D Pipe/Rasterizer/Barycentric Calc	The percentage of time in which barycentric coordinates calculation pipeline stage was slowing down the 3D pipeline.
Sampler	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
Sampler	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
Sampler	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
Sampler	GpuBusy	GPU Busy	GPU	The percentage of time in which the GPU has been processing GPU commands.
Sampler	Sampler00InputAvailable	Slice0 Xe Core0 Input Available	GPU/Sampler	The percentage of time in which slice0 Xe core0 sampler input is available
Sampler	Sampler01InputAvailable	Slice0 Xe Core1 Input Available	GPU/Sampler	The percentage of time in which slice0 Xe core1 sampler input is available
Sampler	Sampler02InputAvailable	Slice0 Xe Core2 Input Available	GPU/Sampler	The percentage of time in which slice0 Xe core2 sampler input is available
Sampler	Sampler03InputAvailable	Slice0 Xe Core3 Input Available	GPU/Sampler	The percentage of time in which slice0 Xe core3 sampler input is available
Sampler	Sampler00OutputReady	Slice0 Xe Core0 Sampler Output Ready	GPU/Sampler	The percentage of time in which slice0 Xe core0 sampler output is ready
Sampler	Sampler01OutputReady	Slice0 Xe Core1 Sampler Output Ready	GPU/Sampler	The percentage of time in which slice0 Xe core1 sampler output is ready
Sampler	Sampler02OutputReady	Slice0 Xe Core2 Sampler Output Ready	GPU/Sampler	The percentage of time in which slice0 Xe core2 sampler output is ready
Sampler	Sampler03OutputReady	Slice0 Xe Core3 Sampler Output Ready	GPU/Sampler	The percentage of time in which slice0 Xe core3 sampler output is ready
Sampler	Sampler10InputAvailable	Slice1 Xe Core0 Input Available	GPU/Sampler	The percentage of time in which slice1 Xe core0 sampler input is available
Sampler	Sampler11InputAvailable	Slice1 Xe Core1 Input Available	GPU/Sampler	The percentage of time in which slice1 Xe core1 sampler input is available
Sampler	Sampler12InputAvailable	Slice1 Xe Core2 Input Available	GPU/Sampler	The percentage of time in which slice1 Xe core2 sampler input is available
Sampler	Sampler13InputAvailable	Slice1 Xe Core3 Input Available	GPU/Sampler	The percentage of time in which slice1 Xe core3 sampler input is available
Sampler	Sampler10OutputReady	Slice1 Xe Core0 Sampler Output Ready	GPU/Sampler	The percentage of time in which slice1 Xe core0 sampler output is ready
Sampler	Sampler11OutputReady	Slice1 Xe Core1 Sampler Output Ready	GPU/Sampler	The percentage of time in which slice1 Xe core1 sampler output is ready
Sampler	Sampler12OutputReady	Slice1 Xe Core2 Sampler Output Ready	GPU/Sampler	The percentage of time in which slice1 Xe core2 sampler output is ready
Sampler	Sampler13OutputReady	Slice1 Xe Core3 Sampler Output Ready	GPU/Sampler	The percentage of time in which slice1 Xe core3 sampler output is ready
TDL1	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
TDL1	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
TDL1	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
TDL1	GpuBusy	GPU Busy	GPU	The percentage of time in which the GPU has been processing GPU commands.
TDL1	NonPSThread00ReadyForDispatch	Non-PS Thread Ready For Dispatch on Slice0 Xe Core0 Thread Dispatcher	GPU/Thread Dispatcher	The percentage of time in which non-PS thread is ready for dispatch on slice0 Xe core0 thread dispatcher
TDL1	PSThread00ReadyForDispatch	PS Thread Ready For Dispatch on Slice0 Xe Core0 Thread Dispatcher	GPU/Thread Dispatcher	The percentage of time in which PS thread is ready for dispatch on slice0 Xe core0 thread dispatcher
TDL1	ThreadHeader00Ready	Thread Header Ready on Slice0 Xe Core0 Thread Dispatcher	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core0 thread dispatcher
TDL1	ThreadHeader00ReadyPort0	Thread Header Ready on Slice0 Xe Core0 Thread Dispatcher Port 0	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core0 thread dispatcher port 0
TDL1	ThreadHeader00ReadyPort1	Thread Header Ready on Slice0 Xe Core0 Thread Dispatcher Port 1	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core0 thread dispatcher port 1
TDL1	ThreadHeader00ReadyPort2	Thread Header Ready on Slice0 Xe Core0 Thread Dispatcher Port 2	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core0 thread dispatcher port 2
TDL1	ThreadHeader00ReadyPort3	Thread Header Ready on Slice0 Xe Core0 Thread Dispatcher Port 3	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core0 thread dispatcher port 3
TDL1	NonPSThread01ReadyForDispatch	Non-PS Thread Ready For Dispatch on Slice0 Xe Core1 Thread Dispatcher	GPU/Thread Dispatcher	The percentage of time in which non-PS thread is ready for dispatch on slice0 Xe core1 thread dispatcher
TDL1	PSThread01ReadyForDispatch	PS Thread Ready For Dispatch on Slice0 Xe Core1 Thread Dispatcher	GPU/Thread Dispatcher	The percentage of time in which PS thread is ready for dispatch on slice0 Xe core1 thread dispatcher
TDL1	ThreadHeader01Ready	Thread Header Ready on Slice0 Xe Core1 Thread Dispatcher	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core1 thread dispatcher
TDL1	ThreadHeader01ReadyPort0	Thread Header Ready on Slice0 Xe Core1 Thread Dispatcher Port 0	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core1 thread dispatcher port 0
TDL1	ThreadHeader01ReadyPort1	Thread Header Ready on Slice0 Xe Core1 Thread Dispatcher Port 1	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core1 thread dispatcher port 1
TDL1	ThreadHeader01ReadyPort2	Thread Header Ready on Slice0 Xe Core1 Thread Dispatcher Port 2	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core1 thread dispatcher port 2
TDL1	ThreadHeader01ReadyPort3	Thread Header Ready on Slice0 Xe Core1 Thread Dispatcher Port 3	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core1 thread dispatcher port 3
TDL2	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
TDL2	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
TDL2	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
TDL2	GpuBusy	GPU Busy	GPU	The percentage of time in which the GPU has been processing GPU commands.
TDL2	NonPSThread02ReadyForDispatch	Non-PS Thread Ready For Dispatch on Slice0 Xe Core2 Thread Dispatcher	GPU/Thread Dispatcher	The percentage of time in which non-PS thread is ready for dispatch on slice0 Xe core2 thread dispatcher
TDL2	PSThread02ReadyForDispatch	PS Thread Ready For Dispatch on Slice0 Xe Core2 Thread Dispatcher	GPU/Thread Dispatcher	The percentage of time in which PS thread is ready for dispatch on slice0 Xe core2 thread dispatcher
TDL2	ThreadHeader02Ready	Thread Header Ready on Slice0 Xe Core2 Thread Dispatcher	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core2 thread dispatcher
TDL2	ThreadHeader02ReadyPort0	Thread Header Ready on Slice0 Xe Core2 Thread Dispatcher Port 0	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core2 thread dispatcher port 0
TDL2	ThreadHeader02ReadyPort1	Thread Header Ready on Slice0 Xe Core2 Thread Dispatcher Port 1	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core2 thread dispatcher port 1
TDL2	ThreadHeader02ReadyPort2	Thread Header Ready on Slice0 Xe Core2 Thread Dispatcher Port 2	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core2 thread dispatcher port 2
TDL2	ThreadHeader02ReadyPort3	Thread Header Ready on Slice0 Xe Core2 Thread Dispatcher Port 3	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core2 thread dispatcher port 3
TDL2	NonPSThread03ReadyForDispatch	Non-PS Thread Ready For Dispatch on Slice0 Xe Core3 Thread Dispatcher	GPU/Thread Dispatcher	The percentage of time in which non-PS thread is ready for dispatch on slice0 Xe core3 thread dispatcher
TDL2	PSThread03ReadyForDispatch	PS Thread Ready For Dispatch on Slice0 Xe Core3 Thread Dispatcher	GPU/Thread Dispatcher	The percentage of time in which PS thread is ready for dispatch on slice0 Xe core3 thread dispatcher
TDL2	ThreadHeader03Ready	Thread Header Ready on Slice0 Xe Core3 Thread Dispatcher	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core3 thread dispatcher
TDL2	ThreadHeader03ReadyPort0	Thread Header Ready on Slice0 Xe Core3 Thread Dispatcher Port 0	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core3 thread dispatcher port 0
TDL2	ThreadHeader03ReadyPort1	Thread Header Ready on Slice0 Xe Core3 Thread Dispatcher Port 1	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core3 thread dispatcher port 1
TDL2	ThreadHeader03ReadyPort2	Thread Header Ready on Slice0 Xe Core3 Thread Dispatcher Port 2	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core3 thread dispatcher port 2
TDL2	ThreadHeader03ReadyPort3	Thread Header Ready on Slice0 Xe Core3 Thread Dispatcher Port 3	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice0 Xe core3 thread dispatcher port 3
TDL3	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
TDL3	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
TDL3	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
TDL3	GpuBusy	GPU Busy	GPU	The percentage of time in which the GPU has been processing GPU commands.
TDL3	NonPSThread10ReadyForDispatch	Non-PS Thread Ready For Dispatch on Slice1 Xe Core0 Thread Dispatcher	GPU/Thread Dispatcher	The percentage of time in which non-PS thread is ready for dispatch on slice1 Xe core0 thread dispatcher
TDL3	PSThread10ReadyForDispatch	PS Thread Ready For Dispatch on Slice1 Xe Core0 Thread Dispatcher	GPU/Thread Dispatcher	The percentage of time in which PS thread is ready for dispatch on slice1 Xe core0 thread dispatcher
TDL3	ThreadHeader10Ready	Thread Header Ready on Slice1 Xe Core0 Thread Dispatcher	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice1 Xe core0 thread dispatcher
TDL3	ThreadHeader10ReadyPort0	Thread Header Ready on Slice1 Xe Core0 Thread Dispatcher Port 0	GPU/Thread Dispatcher	The percentage of time in which thread header is ready on slice1 Xe core0 thread dispatcher port 0
