MetricSet	SymbolName	ShortName	Group	LongName
DepthPipe43	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
DepthPipe43	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
DepthPipe43	HIZ_DEPTH_TEST_PASS_P_ZPIPE2	HiZ Depth Test Pass P Zpipe2	DepthPipe	Number of promoted 2x2 passed by hierarchical depth test
DepthPipe44	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
DepthPipe44	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
DepthPipe44	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
DepthPipe44	HIZ_DEPTH_TEST_PASS_P_ZPIPE3	HiZ Depth Test Pass P Zpipe3	DepthPipe	Number of promoted 2x2 passed by hierarchical depth test
DepthPipe45	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
DepthPipe45	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
DepthPipe45	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
DepthPipe45	HIZ_DEPTH_TEST_PASS_P_ZPIPE4	HiZ Depth Test Pass P Zpipe4	DepthPipe	Number of promoted 2x2 passed by hierarchical depth test
DepthPipe46	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
DepthPipe46	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
DepthPipe46	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
DepthPipe46	HIZ_DEPTH_TEST_PASS_P_ZPIPE5	HiZ Depth Test Pass P Zpipe5	DepthPipe	Number of promoted 2x2 passed by hierarchical depth test
DepthPipe47	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
DepthPipe47	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
DepthPipe47	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
